Feature Extractor,Classifier,Accuracy,F1 Micro,F1 Macro
TF-IDF,Naive Bayes,0.7746478873239436,0.7746478873239436,0.7742448330683624
TF-IDF,Logistic Regression,0.7464788732394366,0.7464788732394367,0.7460254372019077
TF-IDF,SVM (Linear Kernel),0.7746478873239436,0.7746478873239436,0.7746031746031746
TF-IDF,SVM (RBF Kernel),0.7605633802816901,0.7605633802816902,0.7598009950248756
TF-IDF,Random Forest,0.6619718309859155,0.6619718309859155,0.6586538461538463
TF-IDF,Gradient Boosting,0.6619718309859155,0.6619718309859155,0.6619047619047619
TF-IDF,Decision Tree,0.5774647887323944,0.5774647887323944,0.5753588516746411
BoW,Naive Bayes,0.7605633802816901,0.7605633802816902,0.7605633802816902
BoW,Logistic Regression,0.7323943661971831,0.7323943661971831,0.7289531846493873
BoW,SVM (Linear Kernel),0.7323943661971831,0.7323943661971831,0.732394366197183
BoW,SVM (RBF Kernel),0.6901408450704225,0.6901408450704225,0.6885964912280702
BoW,Random Forest,0.7183098591549296,0.7183098591549296,0.7085385878489328
BoW,Gradient Boosting,0.6901408450704225,0.6901408450704225,0.6900793650793651
BoW,Decision Tree,0.5633802816901409,0.5633802816901409,0.5602397602397602
